id,activity_id,user_id,completed
229,3,173,"2015-12-01 21:18:18.174714"
230,2,173,"2015-12-01 21:18:38.546480"
231,1,163,"2015-12-01 21:20:56.721163"
232,4,163,"2015-12-01 21:21:22.424869"
233,2,173,"2015-12-01 21:23:48.626025"
234,3,176,"2015-12-01 21:49:59.816839"
235,2,176,"2015-12-01 21:52:38.781203"
236,1,177,"2015-12-01 21:58:23.460807"
237,4,177,"2015-12-01 21:58:57.061565"
238,3,172,"2015-12-01 22:06:58.403061"
239,2,172,"2015-12-01 22:09:28.251489"
240,1,180,"2015-12-01 23:29:08.531056"
241,2,180,"2015-12-01 23:40:53.579146"
242,3,182,"2015-12-02 10:14:40.195746"
243,4,182,"2015-12-02 10:18:09.783450"
244,1,183,"2015-12-02 10:28:33.449891"
245,2,183,"2015-12-02 10:30:45.975908"
246,3,186,"2015-12-02 10:35:46.089396"
247,4,186,"2015-12-02 10:35:56.256242"
248,3,187,"2015-12-02 10:44:40.643795"
249,1,190,"2015-12-02 12:02:04.872184"
250,4,190,"2015-12-02 12:03:10.571397"
251,3,191,"2015-12-02 12:13:34.060917"
252,2,191,"2015-12-02 12:15:46.831370"
253,4,187,"2015-12-02 12:46:54.286568"
254,3,112,"2015-12-02 12:55:40.273740"
255,4,112,"2015-12-02 12:55:43.817510"
256,1,192,"2015-12-02 13:01:34.614232"
257,2,192,"2015-12-02 13:01:37.279434"
258,1,194,"2015-12-02 14:27:07.137640"
259,4,194,"2015-12-02 14:27:14.632067"
260,3,193,"2015-12-02 14:27:25.136896"
261,4,193,"2015-12-02 14:27:55.170901"
262,1,197,"2015-12-02 14:37:33.258220"
263,2,197,"2015-12-02 14:40:29.411737"
264,3,198,"2015-12-02 14:50:44.019013"
265,2,198,"2015-12-02 14:50:48.103543"
266,3,204,"2015-12-02 15:04:40.162463"
267,4,204,"2015-12-02 15:05:55.242674"
268,3,205,"2015-12-02 15:12:55.177619"
269,2,205,"2015-12-02 15:12:56.424434"
270,2,205,"2015-12-02 15:13:22.538616"
271,1,202,"2015-12-02 15:23:09.203316"
272,4,202,"2015-12-02 15:23:22.906527"
273,1,195,"2015-12-02 15:24:23.581277"
274,1,207,"2015-12-02 15:25:21.275382"
275,4,207,"2015-12-02 15:25:47.608142"
276,4,195,"2015-12-02 15:26:00.616343"
277,3,208,"2015-12-02 15:44:57.674855"
278,2,208,"2015-12-02 15:45:02.188503"
279,1,203,"2015-12-02 15:58:09.748231"
280,1,210,"2015-12-02 15:59:44.402000"
281,2,203,"2015-12-02 16:00:22.734107"
282,2,210,"2015-12-02 16:02:05.896254"
283,3,200,"2015-12-02 16:02:29.838979"
284,4,200,"2015-12-02 16:02:51.973797"
285,4,200,"2015-12-02 16:03:29.247383"
286,3,211,"2015-12-02 16:20:50.417887"
287,2,211,"2015-12-02 16:21:32.537488"
288,3,212,"2015-12-02 17:45:50.183654"
289,2,212,"2015-12-02 17:49:04.161821"
290,3,213,"2015-12-02 17:55:40.102663"
291,2,213,"2015-12-02 17:57:55.930048"
292,3,214,"2015-12-02 18:31:43.431114"
293,2,214,"2015-12-02 18:33:57.388988"
294,3,216,"2015-12-02 19:11:22.778910"
295,2,216,"2015-12-02 19:11:36.082616"
296,3,220,"2015-12-03 01:11:38.246732"
297,2,220,"2015-12-03 01:13:50.985880"
298,3,221,"2015-12-03 06:25:19.811074"
299,4,221,"2015-12-03 06:26:53.053222"
300,3,223,"2015-12-03 17:26:04.654014"
301,4,223,"2015-12-03 17:28:01.257939"
302,1,225,"2015-12-03 23:22:23.609542"
303,2,225,"2015-12-03 23:25:27.636725"
304,3,226,"2015-12-04 00:20:04.758593"
305,2,226,"2015-12-04 00:20:30.665196"
306,1,227,"2015-12-04 19:13:32.897218"
307,4,227,"2015-12-04 19:17:03.546381"
308,1,228,"2015-12-04 19:53:45.019679"
309,2,228,"2015-12-04 20:00:25.900132"
310,3,229,"2015-12-06 15:35:30.905719"
311,4,229,"2015-12-06 15:35:49.561081"
312,3,231,"2015-12-06 15:40:29.487459"
313,4,231,"2015-12-06 15:40:32.604710"
314,4,231,"2015-12-06 15:41:30.612249"
315,3,232,"2015-12-06 15:47:50.171318"
316,4,232,"2015-12-06 15:47:52.871249"
317,1,233,"2015-12-08 12:51:23.667716"
318,2,233,"2015-12-08 12:53:35.861587"
319,3,234,"2015-12-08 16:07:48.817339"
320,2,234,"2015-12-08 16:07:53.964630"
321,3,236,"2015-12-08 16:20:43.752801"
322,4,236,"2015-12-08 16:21:29.755975"
323,1,240,"2015-12-08 16:30:31.438497"
324,4,240,"2015-12-08 16:30:41.267553"
325,3,237,"2015-12-08 16:37:00.520725"
326,4,237,"2015-12-08 16:37:31.868017"
327,3,243,"2015-12-08 16:49:33.568805"
328,4,243,"2015-12-08 16:49:44.989044"
329,3,242,"2015-12-08 16:50:00.580719"
330,4,242,"2015-12-08 16:50:08.515755"
331,1,245,"2015-12-08 16:50:17.390478"
332,4,245,"2015-12-08 16:50:28.915638"
333,1,246,"2015-12-08 17:16:19.137546"
334,2,246,"2015-12-08 17:16:39.121871"
335,1,247,"2015-12-08 17:46:50.109987"
336,1,248,"2015-12-08 18:03:11.963569"
337,2,248,"2015-12-08 18:05:26.205576"
338,3,252,"2015-12-08 18:45:34.730773"
339,4,252,"2015-12-08 18:45:36.864363"
340,1,251,"2015-12-08 18:53:26.490640"
341,4,251,"2015-12-08 18:55:40.755635"
342,3,256,"2015-12-08 23:52:40.655581"
343,4,256,"2015-12-08 23:54:07.757182"
344,1,257,"2015-12-09 06:58:55.565556"
345,2,257,"2015-12-09 06:59:02.348380"
346,3,258,"2015-12-09 07:24:30.857395"
347,4,258,"2015-12-09 07:24:33.807795"
348,1,260,"2015-12-09 10:56:21.364116"
349,2,260,"2015-12-09 10:58:37.313708"
350,3,261,"2015-12-09 15:04:12.993298"
351,2,261,"2015-12-09 15:04:22.777985"
