id,activity_id,user_id,completed
114,3,81,"2015-11-16 14:24:36.033087"
115,2,81,"2015-11-16 14:24:39.611081"
121,3,85,"2015-11-16 14:58:38.196175"
122,2,85,"2015-11-16 15:00:10.401956"
125,1,87,"2015-11-16 16:16:02.179229"
126,4,87,"2015-11-16 16:17:18.420984"
127,3,89,"2015-11-16 16:29:38.435146"
128,4,89,"2015-11-16 16:31:51.063026"
129,3,90,"2015-11-16 17:41:02.629319"
130,4,90,"2015-11-16 18:01:50.431372"
131,4,90,"2015-11-16 18:02:46.671539"
132,3,91,"2015-11-17 07:22:33.057832"
133,4,91,"2015-11-17 07:22:36.636201"
134,3,92,"2015-11-17 09:14:53.423343"
135,2,92,"2015-11-17 09:16:38.674166"
138,1,97,"2015-11-25 14:04:13.473071"
139,4,97,"2015-11-25 14:04:15.047823"
142,3,103,"2015-11-30 18:57:53.001316"
143,2,103,"2015-11-30 19:00:44.853907"
144,3,102,"2015-11-30 19:06:33.917091"
145,2,102,"2015-11-30 19:09:30.271264"
146,3,105,"2015-11-30 19:26:54.643516"
147,1,106,"2015-11-30 20:56:55.303901"
148,4,106,"2015-11-30 20:58:07.616126"
149,3,111,"2015-12-01 08:19:45.928229"
150,2,111,"2015-12-01 08:20:09.921247"
151,3,115,"2015-12-01 08:37:42.910450"
152,2,115,"2015-12-01 08:40:04.377723"
153,3,120,"2015-12-01 08:45:57.098549"
154,2,120,"2015-12-01 08:46:03.043262"
155,1,121,"2015-12-01 08:48:33.007283"
156,4,121,"2015-12-01 08:49:35.200921"
157,4,121,"2015-12-01 08:50:38.259531"
158,4,121,"2015-12-01 08:51:41.545531"
159,3,118,"2015-12-01 08:55:35.099015"
160,4,118,"2015-12-01 08:55:47.521311"
161,4,118,"2015-12-01 08:56:49.177414"
162,3,122,"2015-12-01 09:00:10.791373"
163,4,122,"2015-12-01 09:01:06.893589"
164,1,123,"2015-12-01 09:03:27.452522"
165,4,123,"2015-12-01 09:05:16.762732"
166,1,119,"2015-12-01 09:11:30.915539"
167,2,119,"2015-12-01 09:13:43.950000"
168,3,127,"2015-12-01 09:32:05.802326"
169,2,127,"2015-12-01 09:34:32.082240"
170,3,130,"2015-12-01 09:39:14.557379"
171,4,130,"2015-12-01 09:39:47.581146"
172,1,128,"2015-12-01 09:42:22.950529"
173,2,128,"2015-12-01 09:44:36.710944"
174,3,132,"2015-12-01 09:45:45.748634"
175,4,132,"2015-12-01 09:46:43.085941"
176,3,134,"2015-12-01 09:52:38.243897"
177,4,134,"2015-12-01 09:54:04.003549"
178,1,135,"2015-12-01 10:03:05.610502"
179,3,136,"2015-12-01 10:10:29.513685"
180,2,136,"2015-12-01 10:13:04.519014"
181,3,138,"2015-12-01 10:26:16.985991"
182,4,138,"2015-12-01 10:26:44.547985"
183,3,139,"2015-12-01 10:29:37.670234"
184,2,139,"2015-12-01 10:29:39.317038"
185,2,139,"2015-12-01 10:30:44.545625"
186,2,139,"2015-12-01 10:33:07.199650"
187,2,139,"2015-12-01 10:34:32.705531"
188,3,143,"2015-12-01 11:03:36.268576"
189,4,143,"2015-12-01 11:03:51.258858"
190,4,143,"2015-12-01 11:04:54.328025"
191,4,143,"2015-12-01 11:05:54.778171"
192,4,143,"2015-12-01 11:07:52.766105"
193,4,143,"2015-12-01 11:10:17.693968"
194,3,146,"2015-12-01 11:36:25.652298"
195,4,146,"2015-12-01 11:37:31.594010"
196,3,150,"2015-12-01 12:41:09.852611"
197,4,150,"2015-12-01 12:44:44.894113"
198,3,151,"2015-12-01 12:54:54.815541"
199,4,151,"2015-12-01 12:54:59.053921"
200,4,151,"2015-12-01 12:55:51.342021"
201,4,151,"2015-12-01 12:56:09.602799"
202,1,153,"2015-12-01 13:23:43.279221"
203,2,153,"2015-12-01 13:25:58.566330"
204,1,144,"2015-12-01 13:42:19.192870"
205,4,144,"2015-12-01 13:45:27.403508"
206,4,144,"2015-12-01 13:46:09.756456"
207,3,155,"2015-12-01 13:50:24.420334"
208,4,155,"2015-12-01 13:51:31.963383"
209,1,157,"2015-12-01 14:14:36.960989"
210,2,157,"2015-12-01 14:14:39.883390"
211,4,135,"2015-12-01 14:33:59.901433"
212,3,158,"2015-12-01 14:52:46.820118"
213,2,158,"2015-12-01 14:52:52.881004"
214,1,159,"2015-12-01 14:56:22.498536"
215,2,159,"2015-12-01 15:04:28.845623"
216,1,160,"2015-12-01 15:56:25.447253"
217,4,160,"2015-12-01 15:56:42.024954"
218,1,164,"2015-12-01 17:25:58.414645"
219,2,164,"2015-12-01 17:26:00.872480"
220,1,166,"2015-12-01 18:22:07.705062"
221,2,166,"2015-12-01 18:22:16.004295"
222,3,168,"2015-12-01 19:03:40.841210"
223,4,168,"2015-12-01 19:03:42.937586"
224,4,168,"2015-12-01 19:04:15.734662"
225,4,168,"2015-12-01 19:04:24.497302"
226,4,168,"2015-12-01 19:06:36.239114"
227,3,170,"2015-12-01 20:21:14.202964"
228,2,170,"2015-12-01 20:36:40.830943"
